"","year_month_day","cluster.id","lon.wgs84","lat.wgs84"
"118","2018-03-24",261,36.911153,-1.365923
"119","2018-03-24",262,36.808103,-1.320484
"120","2018-03-24",265,36.851147,-1.294008
"121","2018-03-24",266,36.927754,-1.379048
"122","2018-03-24",267,36.746094,-1.304108
"123","2018-03-24",272,36.871115,-1.329909
"124","2018-03-24",273,36.884013,-1.3312605
"125","2018-03-25",253,36.663542,-1.223701
"126","2018-03-25",254,36.819099,-1.308837
"127","2018-03-25",255,36.893295,-1.327841
"128","2018-03-26",248,36.837438,-1.287631
"129","2018-03-26",250,36.82132,-1.278437
"130","2018-03-26",251,36.68895,-1.252307
"131","2018-03-26",254,36.816808,-1.311187
"132","2018-03-27",229,37.002577,-1.125515
"133","2018-03-27",231,36.817565,-1.281516
"134","2018-03-27",232,36.831772,-1.267524
"135","2018-03-27",238,36.798285,-1.26231833333333
"136","2018-03-27",240,36.8541642,-1.294769
"137","2018-03-27",241,36.847343,-1.325184
"138","2018-03-27",242,36.889997,-1.307542
"139","2018-03-28",217,36.754211,-1.263935
"140","2018-03-28",218,36.962621,-1.432263
"141","2018-03-28",220,36.83456,-1.266736
"142","2018-03-28",222,36.072488,-1.037397
"143","2018-03-28",223,36.822738,-1.281072
"144","2018-03-28",224,36.912028,-1.364105
"145","2018-03-28",225,36.833821,-1.212257
"146","2018-03-28",227,36.959157,-1.1580105
"147","2018-03-28",228,36.931209,-1.188438
"148","2018-03-29",209,36.925383,-1.31842
"149","2018-03-29",210,36.972862,-1.171279
"150","2018-03-29",213,36.787437,-1.299653
"151","2018-03-29",215,37.06727,-1.024238
"152","2018-03-30",202,36.726214,-1.262366
"153","2018-03-30",203,38.492725,-3.091475
"154","2018-03-30",204,36.894386,-1.314254
"155","2018-03-30",205,37.996398,-2.481994
"156","2018-03-30",206,36.866929,-1.245265
"157","2018-03-30",207,36.818068,-1.28616
"158","2018-03-31",192,36.836615,-1.270261
"159","2018-03-31",197,36.838427,-1.3195705
"160","2018-03-31",198,36.834302,-1.266347
"161","2018-03-31",199,36.863271,-1.330467
"162","2018-03-31",200,36.931256,-1.188489
"163","2018-04-01",190,36.7494215,-1.302702
"164","2018-04-02",182,36.9633775,-1.4318875
"165","2018-04-02",183,36.785784,-1.207129
"166","2018-04-02",187,36.93703225,-1.18224375
"167","2018-04-02",189,36.804687,-1.308493
"168","2018-04-03",176,36.826125,-1.284543
"169","2018-04-03",177,36.785956,-1.2069895
"170","2018-04-03",179,36.8543535,-1.2574585
"171","2018-04-03",180,36.8734135,-1.233941
"172","2018-04-04",166,36.813077,-1.279941
"173","2018-04-04",167,36.869924,-1.239465
"174","2018-04-04",168,36.85529,-1.256305
"175","2018-04-04",169,36.805081,-1.292466
"176","2018-04-04",170,36.871013,-1.329642
"177","2018-04-04",173,36.891518,-1.219449
"178","2018-04-04",174,36.762462,-1.342082
"179","2018-04-04",175,36.843625,-1.2672965
"180","2018-04-05",159,37.090503,-1.504949
"181","2018-04-05",160,36.853423,-1.29434
"182","2018-04-05",161,36.974508,-1.133148
"183","2018-04-05",162,36.9905205,-1.2180455
"184","2018-04-05",163,36.701381,-1.257969
"185","2018-04-06",154,36.890921,-1.329765
"186","2018-04-06",155,36.7706135,-1.3819635
"187","2018-04-06",156,36.891094,-1.220258
"188","2018-04-06",157,36.9887095,-1.129622
"189","2018-04-06",158,36.869744,-1.2975705
"190","2018-04-07",147,36.936968,-1.181801
"191","2018-04-07",148,36.813109,-1.2735535
"192","2018-04-07",151,36.8093811666667,-1.31171216666667
"193","2018-04-07",152,36.770619,-1.381969
"194","2018-04-07",156,36.8805195,-1.228848
"195","2018-04-08",142,36.804687,-1.308611
"196","2018-04-08",143,36.7168985,-1.2606225
"197","2018-04-08",144,36.770603,-1.381969
"198","2018-04-08",145,36.966056,-1.4353885
"199","2018-04-08",146,36.888107,-1.331644
"200","2018-04-09",134,36.872533,-1.235357
"201","2018-04-09",135,36.802701,-1.265459
"202","2018-04-09",137,36.766065,-1.26242275
"203","2018-04-09",139,36.8263315,-1.304861
"204","2018-04-09",140,36.7691785,-1.300783
"205","2018-04-09",142,36.810646,-1.319269
"206","2018-04-10",115,36.8235505,-1.2832545
"207","2018-04-10",117,36.532477,-0.805729
"208","2018-04-10",120,36.886901,-1.2957905
"209","2018-04-10",122,36.831035,-1.304977
"210","2018-04-10",125,36.902578,-1.343995
"211","2018-04-10",126,36.8664425,-1.330991
"212","2018-04-10",127,36.637411,-1.145417
"213","2018-04-10",129,36.835507,-1.2684235
"214","2018-04-10",130,36.957625,-1.164116
"215","2018-04-10",131,36.903013,-1.212495
